id,text,label,label_id,template_id,split
1,ስጦታው ገና ወደ አውሮፕላን ማረፊያ ነገ አልደረሰኝም።,Complaint,6,Complaint_07,train
2,እባክዎ ውሉን ለደንበኛው በዚህ ወር ይላኩልኝ።,Request,0,Request_00,train
3,ነጋዴው፣ ስራ በሆስፒታል እንዴት ነው?,Phatic,7,Phatic_09,val
4,እባክዎ ትዕዛዙን ለፖሊሱ በዚህ አመት ይላኩልኝ።,Request,0,Request_00,train
5,እባክሽ ስጦታውን ዛሬ ማታ አምጪልኝ።,Request,0,Request_09,test
6,የትዕዛዙ ችግር ከምሽቱ ጀምሮ ከጓደኛዬ ጋር እፈታለሁ።,Promise,8,Promise_11,train
7,በጣም ውጤታማ ነው ባንኩ፣ በበዚህ አመት ምንም አልተሰራም።,Sarcasm/Irony,5,Sarcasm/Irony_14,val
8,አለቃዬ፣ ቤተሰብ በቢሮ እንዴት ናቸው?,Phatic,7,Phatic_05,val
9,ደብዳቤው ገና ወደ አውሮፕላን ማረፊያ ከአንድ ሰዓት በኋላ አልደረሰኝም።,Complaint,6,Complaint_07,train
10,እባክዎ ትዕዛዙን ለአለቃዬ በስብሰባው ወቅት ይላኩልኝ።,Request,0,Request_00,train
11,እባክዎ ለመሐንዲሱ ልብሱን ያድርሱ።,Request,0,Request_14,test
12,ከነጋዴው ጋር ዛሬ በፍርድ ቤት እገናኛለሁ።,Promise,8,Promise_04,val
13,እንኳን ወደ ባንክ ደህና መጣህ ሚኒስትሩ።,Phatic,7,Phatic_04,test
14,ጎበዝ ስራ ሹፌሩ፣ መስኮቱ ሙሉ በሙሉ ፈርሷል።,Sarcasm/Irony,5,Sarcasm/Irony_09,train
15,ከሁለት ቀናት በኋላ በባንክ ከባድ ዝናብ ሊዘንብ ይችላል ተጠንቀቁ።,Warning,4,Warning_03,test
16,ስለ ቡናው ከሹፌሩ ጋር ማሰብ ይኖርብናል።,Suggestion,3,Suggestion_03,train
17,ትዕዛዙን ከጥቂት ደቂቃዎች በኋላ ብንሞክር ጥሩ ይሆናል።,Suggestion,3,Suggestion_00,train
18,እባክዎ ኮምፒዩተሩን ለነጋዴው በሳምንቱ መጨረሻ ይላኩልኝ።,Request,0,Request_00,train
19,እባክዎ ለጋዜጠኛው ስለ ኮምፒዩተሩ ይንገሩልኝ።,Request,0,Request_04,val
20,ከሹፌሩ ጋር ከሶስት ሰዓት በኋላ በቤት እገናኛለሁ።,Promise,8,Promise_04,val
21,እሰይ፣ ሌላ ችግር በከተማው ውስጥ ከሰዓት በኋላ፣ ልክ የሚያስፈልገን ይሄው ነበር።,Sarcasm/Irony,5,Sarcasm/Irony_07,train
22,በሩ ገና ወደ መንገድ ላይ ከምሽቱ ጀምሮ አልደረሰኝም።,Complaint,6,Complaint_07,train
23,በባንኩ አዲስ ስልት በሚቀጥለው ሳምንት እንተግብር።,Suggestion,3,Suggestion_14,test
24,ጓደኛዬ ስብሰባውን በሚቀጥለው አመት መርተዋል።,Assertion,1,Assertion_03,val
25,የኮምፒዩተሩ ችግር በዚህ አመት ከጋዜጠኛው ጋር እፈታለሁ።,Promise,8,Promise_11,train
26,የመሳሪያው ችግር በሚቀጥለው ወር ከጋዜጠኛው ጋር እፈታለሁ።,Promise,8,Promise_11,train
27,አስተማሪዋ ወደ ትምህርት ቤት ከአንድ ሰዓት በኋላ ሄደዋል።,Assertion,1,Assertion_07,train
28,እባክዎ ውሉን ለነጋዴው በዚህ ሳምንት ይላኩልኝ።,Request,0,Request_00,train
29,እርግጠኛ ነኝ ነጋዴው ከጥቂት ደቂቃዎች በኋላ ይደርሳሉ፣ እንደ ሁልጊዜው።,Sarcasm/Irony,5,Sarcasm/Irony_05,test
30,እባክዎ ኮምፒዩተሩን ለጓደኛዬ ነገ ጠዋት ይላኩልኝ።,Request,0,Request_00,train
31,መኪናው ገና ወደ አውሮፕላን ማረፊያ ነገ ከሰዓት በኋላ አልደረሰኝም።,Complaint,6,Complaint_07,train
32,ከመሐንዲሱ ጋር ነገ በፍርድ ቤት እገናኛለሁ።,Promise,8,Promise_04,val
33,የመልእክቱ ችግር ከአንድ ሰዓት በኋላ ከመምህሩ ጋር እፈታለሁ።,Promise,8,Promise_11,train
34,ይህን ፕሮጀክቱን ከባልደረባዬ መቀበል አልችልም።,Refusal,2,Refusal_03,train
35,እንኳን አደረሳችሁ ደንበኛው፣ በገበያ።,Phatic,7,Phatic_14,test
36,ጤና ይስጥልኝ ጠበቃው፣ ከሰዓት በኋላ ደህና ነህ?,Phatic,7,Phatic_12,train
37,ወደ ቢሮ ከምሽቱ ጀምሮ መሄድ አልችልም።,Refusal,2,Refusal_13,test
38,አለቃዬ ወደ ከተማው ውስጥ ከሶስት ሰዓት በኋላ ሄደዋል።,Assertion,1,Assertion_07,train
39,ይቅርታ፣ ውሉን ዛሬ ማድረግ አልችልም።,Refusal,2,Refusal_00,train
40,በጣም ውጤታማ ነው ኤጀንሲው፣ በከአንድ ሰዓት በኋላ ምንም አልተሰራም።,Sarcasm/Irony,5,Sarcasm/Irony_14,val
41,እባክህ ይቅርታ አድርግልኝ፣ ወደ መጋዘን በሚቀጥለው ወር መምጣት አልችልም።,Refusal,2,Refusal_01,test
42,እንዴት ጎበዝ ነህ መሐንዲሱ፣ ጥያቄውን ሰብረኸዋል!,Sarcasm/Irony,5,Sarcasm/Irony_00,train
43,እባክዎ ገንዘቡን ለነጋዴው በዚህ አመት ይላኩልኝ።,Request,0,Request_00,train
44,የቤቱ ችግር በሚቀጥለው ሳምንት ከፖሊሱ ጋር እፈታለሁ።,Promise,8,Promise_11,train
45,የሪፖርቱ ችግር ከምሽቱ ጀምሮ ከሹፌሩ ጋር እፈታለሁ።,Promise,8,Promise_11,train
46,ይህን መጽሐፉን ከደንበኛው መቀበል አልችልም።,Refusal,2,Refusal_03,train
47,ወደ መጋዘን በዚህ ወር መሄድ አልችልም።,Refusal,2,Refusal_13,test
48,ምርቱ ገና ወደ ቤት ከሰዓት በኋላ አልደረሰኝም።,Complaint,6,Complaint_07,train
49,ሰላም ባልደረባዬ፣ በሚቀጥለው ሳምንት እንዴት ነህ?,Phatic,7,Phatic_00,train
50,ቢያንስ አንዴ ውሉን በስብሰባ ክፍል እንሞክር።,Suggestion,3,Suggestion_05,train
51,የቤቱ ችግር በስብሰባው ወቅት ከአስተማሪዋ ጋር እፈታለሁ።,Promise,8,Promise_11,train
52,እባክዎ ቡናውን ለደንበኛው በሳምንቱ መጨረሻ ይላኩልኝ።,Request,0,Request_00,train
53,የመልእክቱ ችግር በሚቀጥለው አመት ከመምህሩ ጋር እፈታለሁ።,Promise,8,Promise_11,train
54,ጋዜጠኛው ወደ ቢሮ በዚህ ወር ሄደዋል።,Assertion,1,Assertion_07,train
55,እንኳን ደስ አለህ አለቃዬ፣ ስለ ልብሱ እንደገና ተሳስተሃል።,Sarcasm/Irony,5,Sarcasm/Irony_13,train
56,ደህና ከሁለት ቀናት በኋላ ይሁንልህ ጋዜጠኛው።,Phatic,7,Phatic_02,train
57,የትዕዛዙ ዋጋ ከሶስት ሰዓት በኋላ ጨምሯል።,Assertion,1,Assertion_12,val
58,እባክዎ ጥያቄውን በዚህ ወር ይላኩልኝ።,Request,0,Request_13,val
59,የቁልፉ ወጪውን በሱቅ ብንቀንስ የተሻለ ነው።,Suggestion,3,Suggestion_13,train
60,እባክዎ ሪፖርቱን ለጓደኛዬ ነገ ይላኩልኝ።,Request,0,Request_00,train
61,ይህን መልእክቱን ከባልደረባዬ መቀበል አልችልም።,Refusal,2,Refusal_03,train
