id,label_id,label,sentence
9577,6,Sarcasm/Irony,እርግጥ ነው፣ በቀን ሁሉም ደስተኛ ነው... (በአስቂኝ)።
10649,6,Sarcasm/Irony,እንዴት አንዳንድ ሰዎች በጣም ፈጣን ነው! (በአስቂኝ)።
2899,3,Promise,ይህን ደስታ እጠብቃለሁ።
2506,7,Suggestion,ሐኪሙ ደስታ ቢጠቀም ይሻላል።
5516,0,Assertion,ገበሬዎች በሰዓት መቀሌ ይገኛል።
5956,5,Request,እባክዎ ብር ይላኩልኝ።
9207,3,Promise,ሐኪሙ በቅርቡ ይመጣል ብሎ ቃል ገብቷል።
7217,4,Refusal,አለቃዬ ወረቀት አይፈልግም።
5014,4,Refusal,ወዳጄ እርዳታ አይፈልግም።
3122,6,Sarcasm/Irony,በጣም መጥፎ ነው፣ ምንም አደጋ የለም... (በሳቅ)።
7245,3,Promise,እኔ ኮምፒውተር እሰጥሃለሁ።
10622,7,Suggestion,ይህን ድርጊት መሞከር ጥሩ ነው።
10926,7,Suggestion,ምናልባት አሮጌ እረፍት መግዛት?
6115,8,Warning,ተጠንቀቅ! ቁልፍ አስፈላጊ ነው።
287,7,Suggestion,ሐኪሙ ምክር ቢያደርግ ይሻላል።
9126,1,Complaint,ማንም ከ ኮምፒውተር ጋር ችግር አለው።
650,8,Warning,ተጠንቀቅ! ወረቀት አስደሳች ነው።
8681,5,Request,ልጄ ብር ማግኘት ይችላል?
3250,7,Suggestion,ምናልባት ደህንነቱ የተጠበቀ ስብሰባ መግዛት?
2177,3,Promise,በወር እናንተ ጉብኝት ያመጣል።
571,5,Request,እኛ ጉብኝት ማግኘት ይችላል?
11259,5,Request,ዳኛው ሙዚቃ ማግኘት ይችላል?
8567,7,Suggestion,ይህን ቤት መሞከር ጥሩ ነው።
9484,2,Phatic,ጤናማ ሳምንት ይሁንልህ ባለቤቴ።
10298,7,Suggestion,ልጄ ምግብ ቢያደርግ ይሻላል።
5199,1,Complaint,እነሱ ውሳኔ ስለ አዲስ መሆኑ ያማርራል።
954,6,Sarcasm/Irony,ምግብ ቤት በጣም ውድ ነው፣ ግን ዋጋው አለው... (በቀልድ)።
6398,6,Sarcasm/Irony,እርግጥ ነው፣ አሁን ሁሉም ይረዳል... (በአስቂኝ)።
10755,7,Suggestion,ምናልባት እርዳታ ማድረግ ይሻላል።
10231,1,Complaint,ለምን ባለሙያው እድል አልሰጠኝም?
1387,2,Phatic,ሰላም እሷ፣ እንዴት ነው ሁኔታው?
2244,8,Warning,ይህን ዕረፍት አታድርግ።
1100,2,Phatic,ቤተሰብህ ደህና ናቸው እህቶች?
2358,2,Phatic,ደህና ሁን ከዚህ በፊት አዛውንቶች።
7697,8,Warning,አባቶች ድልድይ አትንካ።
