id,label_id,label,sentence
1,7,Suggestion,ማንም ምክር ቢጠቀም ይሻላል።
2,5,Request,እናቶች ሀሳብ ማግኘት ይችላል?
3,0,Assertion,በሰዓት ብዙ ሰዎች መንገድ ያመጣል።
4,0,Assertion,ጎረቤቴ ይቻላል ብዙ ጊዜ።
5,5,Request,እባክህ ሰላም ስጠኝ።
6,5,Request,ባለሙያው ዕድል ማግኘት ይችላል?
7,0,Assertion,ሴቶች መፍትሄ ደህንነቱ የተጠበቀ ይታያል።
8,8,Warning,ሁሉም ስራ አትንካ።
9,1,Complaint,እንግዶች ከ ችግር ጋር ችግር አለው።
10,5,Request,ሰራተኛው ክፍያ ማግኘት ይችላል?
11,8,Warning,ተጠንቀቅ! ክፍያ ደስ የሚል ነው።
12,1,Complaint,አባቴ ከ ክፍያ ጋር ችግር አለው።
13,5,Request,ባለሙያው ነገ ትመጣለች ብሎ ቃል ገብቷል።
14,7,Suggestion,ጎረቤቴ ሙያ ቢያደርግ ይሻላል።
15,6,Sarcasm/Irony,ሁሉም ሰው ውሳኔ ይወዳል... (በአስቂኝ)።
16,3,Promise,በማለዳ እነሱ መጽሔት ያመጣል።
17,8,Warning,ተጠንቀቅ! ቅጣት ደህንነቱ የተጠበቀ ነው።
18,2,Phatic,ጤናማ ቀን ይሁንልህ ከ ገበያ።
19,0,Assertion,ይህ ዜና ከባድ መሆኑን እረጋገጣለሁ።
20,6,Sarcasm/Irony,እንዴት ያለ ቀላል ሀሳብ ነው! (በሳቅ)።
21,4,Refusal,እህቶች ስብሰባ አይፈልግም።
22,6,Sarcasm/Irony,አዎ ሰራተኞች በጣም ፈጣን ነው... (በቀልድ)።
23,0,Assertion,አባቴ ብር አለው።
24,0,Assertion,እውነቱን ለመናገር ድርጊት ደስ የሚል ነው።
25,8,Warning,ተጠንቀቅ! ድል አደገኛ ነው።
26,1,Complaint,ሁልጊዜ ውሳኔ ይጎድላል።
27,0,Assertion,እኔ መረጃ እንድታደርግ እመክራለሁ።
28,8,Warning,ተጠንቀቅ! ምግብ ቀላል ነው።
29,3,Promise,በቅርቡ ታካሚዎች ፕሮጀክት ያመጣል።
30,0,Assertion,አለቃዬ ናቸው ብዙ ጊዜ።
31,6,Sarcasm/Irony,ባለሙያው ሁልጊዜ ትክክል ነው... (በሳቅ)።
32,8,Warning,ተጠንቀቅ፣ ባለሙያው ይመጣል።
33,5,Request,እባክህ ውሃ አስረዳኝ።
34,3,Promise,ሐኪሙ ሰላም አይፈልግም።
35,3,Promise,ይህን ክፍያ እጠብቃለሁ።
36,7,Suggestion,እኔ እቅድ እንድታደርግ እመክራለሁ።
37,3,Promise,ይህ ኮምፒውተር አዲስ መሆኑን እረጋገጣለሁ።
38,6,Sarcasm/Irony,ተማሪዎች ሁልጊዜ በጊዜው ይመጣል... (በቀልድ)።
39,3,Promise,አንዳንድ ሰዎች ከ ዜና ጋር ችግር አለው።
40,0,Assertion,በቅርቡ ልጄ ቤተ ክርስቲያን ነበር።
41,3,Promise,በወር እህቴ ትምህርት ያመጣል።
42,8,Warning,ተጠንቀቅ! ቁልፍ ትልቅ ነው።
43,6,Sarcasm/Irony,እኔ በጣም ታማኝ ነው፣ አይዋሽም... (በተቃራኒ)።
44,8,Warning,ሹፌሩ ሆቴል አይፈልግም።
45,4,Refusal,ልጄ ክፍያ አይፈልግም።
46,0,Assertion,አንተ በጊዜው መስሪያ ቤት ይገኛል።
47,3,Promise,እኔ ሽልማት አላረሳም።
48,8,Warning,እህቴ እርዳታ ማግኘት ይችላል?
49,8,Warning,ተጠንቀቅ! ጊዜ ውድ ነው።
50,6,Sarcasm/Irony,እንዴት ወንዶች በጣም ፈጣን ነው! (በአስቂኝ)።
51,4,Refusal,ሐኪሙ መረጃ አይፈልግም።
52,7,Suggestion,ማንም ደስታ ቢያደርግ ይሻላል።
53,8,Warning,ተጠንቀቅ! ሆቴል ያሳዝናል ነው።
54,6,Sarcasm/Irony,ተጠንቀቅ፣ አዛውንቶች ይመጣል።
55,6,Sarcasm/Irony,አዎ፣ ወረቀት በጣም አስፈላጊ ነው... (በተቃራኒ)።
56,6,Sarcasm/Irony,እንዴት ፕሮጀክት በጣም ቀላል ነው! (በተቃራኒ)።
57,4,Refusal,ባለሙያው ምግብ አይፈልግም።
58,2,Phatic,በጣም ደስ ብሎኛል በቀን ወንድሞች።
59,3,Promise,በሰዓት ወንድሞች ገንዘብ ያመጣል።
60,7,Suggestion,ጎረቤቴ መፍትሄ ማግኘት ይችላል?
61,8,Warning,ሴቶች ቦታ አትንካ።
62,7,Suggestion,ባለቤቴ ደብዳቤ ቢያደርግ ይሻላል።
63,4,Refusal,ይህን ክፍያ ማድረግ አልችልም።
64,2,Phatic,ደህና እንደምትሆኚ ከ ሐረር ተስፋ አደርጋለሁ።
65,8,Warning,ተጠንቀቅ! እረፍት ጥሩ ነው።
66,5,Request,አንድ ሰው ደብዳቤ ማግኘት ይችላል?
67,8,Warning,ይህ ዜና አደገኛ ነው።
68,2,Phatic,እንዴት ነው ስራህ በማለዳ?
69,6,Sarcasm/Irony,አዎ፣ ታካሚዎች በጣም ብልህ ነው... (በተቃራኒ)።
70,4,Refusal,ነጋዴዎች ዕረፍት አይፈልግም።
71,6,Sarcasm/Irony,እርግጥ፣ ድል በጣም ውድ ነው... (በአስቂኝ)።
72,4,Refusal,እንግዶች ስራ አይፈልግም።
73,7,Suggestion,ዳኛው ጉዞ ቢጠቀም ይሻላል።
74,2,Phatic,በሰላም እንገናኝ በፍጥነት።
75,7,Suggestion,እንደእኔ አስተያየት ጉዞ መቀየር ይሻላል።
