id,text,label,label_id,template_id,split
1,ቦታው ዛሬ ጠዋት አልተያዘም።,Complaint,6,Complaint_07,train
2,ይቅርታ፣ ትዕዛዙን በዚህ ሳምንት መላክ አልችልም።,Refusal,2,Refusal_02,train
3,አይደለም፣ ሪፖርቱን ዛሬ ማጠናቀቅ አልችልም።,Refusal,2,Refusal_10,val
4,ሪፖርቱ በዚህ ወር አልቀረበም።,Complaint,6,Complaint_05,train
5,ለባልደረባዬ ነገ ጠዋት እደውላለሁ።,Promise,8,Promise_10,train
6,መጽሐፉ ነገ ማታ ደረሰ።,Assertion,1,Assertion_11,train
7,ይሻላል ክፍያውን ነገ ጠዋት ማድረግ።,Suggestion,3,Suggestion_08,train
8,ቦታው ነፃ ነው።,Assertion,1,Assertion_10,train
9,መረጃው ነገ አልደረሰኝም።,Complaint,6,Complaint_06,train
10,ተጠንቀቅ፣ ለወንድሜ ካልላክ ችግር ይፈጥራል።,Warning,4,Warning_02,train
11,ስራው በቅርቡ ተጀምሯል።,Assertion,1,Assertion_13,test
12,ምግቡ ዛሬ ጠዋት አልደረሰኝም።,Complaint,6,Complaint_08,val
13,ጤና ይስጥልኝ፣ ስራ እንዴት ነው?,Phatic,7,Phatic_02,train
14,ማስጠንቀቂያ፣ ውሳኔውን በዚህ ሳምንት ካላሳወቅክ ችግር ይፈጥራል።,Warning,4,Warning_11,train
15,ምናልባት መልእክቱን ነገ ማታ ማድረግ ይሻላል።,Suggestion,3,Suggestion_00,train
16,ተጠንቀቅ፣ ውሉን ነገ ማታ ካልፈረምክ ህጋዊ ችግር ይፈጥራል።,Warning,4,Warning_04,test
17,የምግቡ ጥራት ዝቅተኛ ነው።,Complaint,6,Complaint_11,val
18,ማስጠንቀቂያ፣ ክፍያውን በሚቀጥለው ቀን ካላደረግክ አገልግሎት ይቋረጣል።,Warning,4,Warning_03,train
19,እንዴት ነህ ጓደኛ?,Phatic,7,Phatic_12,train
20,ጤና ይስጥልኝ፣ ቤተሰብ እንዴት ናቸው?,Phatic,7,Phatic_06,train
21,ተጠንቀቅ፣ ለአጋሬ ካልደወልክ ችግር ይፈጥራል።,Warning,4,Warning_12,train
22,ማስጠንቀቂያ፣ ትዕዛዙን አሁን ካላጠናቀቅክ ቅጣት አለ።,Warning,4,Warning_01,train
23,እርግጥ ነው፣ ውሳኔው ትክክል ነው... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_11,train
24,ተጠንቀቅ፣ ስራውን በሚቀጥለው ወር ካላጠናቀቅክ ቅጣት አለ።,Warning,4,Warning_14,train
25,ተጠንቀቅ፣ ለጓደኛዋ ካልላክ ችግር ይፈጥራል።,Warning,4,Warning_02,train
